OverallRating,ReviewBody
1.0,"• Hours before  takeoff we received  a Mail stating  in cryptic message  saying there are  delays to be  queues as there is a limit on how many planes can leave  all the same  time So did  the capacity of the Heathrow Airport really hit British Airways by surprise,  hours before departure? Anyhow - we 're the one  without delay so  long - but  still we have  be forced to  fly in our Hand luggage. I travel only with  Hand luggage to avoid waiting for  this ultra slow  arrival of the  checked in luggage.  Always 2h later  get home than  normal with really  good reason, just  due to incompetent  Air Service level  was worse then  normal and triple  the price. Really never again. Thanks  or nothing."
3.0,"we recently had a delay on British Airways from  London to LHR that was due to staff shortages. They announced that there was a 2 hour holding  pattern but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the  next 2 hours  on the airplane. The plane was old, dirty, had no power at  the seats. The staff provided a small bag of  food and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First  floor lounges at Heathrow are overcrowded,  dirty and poorly equipped. The help  desk is completely unhelpful when an error arises with delays and cancellations , even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent  times and has  been moved from a world-class airline to a budget airline with much  less service and timeliness than Ryanair or EasyJet."
8.0,"Left on time,  though it took  time to get  to the runway  thanks to congestion.  Service was smooth  and quick. Snack  & drinks were  available for a  late flight. Landed  in about ten  seconds late. One bag of three  was in London,  was quickly filled , and the  bag was delivered  the next morning."
1.0,"3 days before  my flight, we  are advised by BA that it  has been cancelled  who asked us  to rebook. There  were flights 1  hour before and  one hour after  our original flight  so they made  them take one  4 hours earlier.  The original ticket  for the return  flight a week  ago included a  checked bag. When  they arrive at  BA to check , we are  informed our ticket  only included a  backpack and we  will have to  pay 75 pounds  more to take ! We explained  that the original  tickets had the  luggage and when  they checked the  ticket they confirmed  what it did- but not this ? They would  spare no effort  and sort it , and just  tell us to  pay up or  it would remove  it from the  flight So we  have no choice  but to pay  up thinking it  will be pretty  simple to get  our refund. 15  days and 10  hours later we  have still not  paid a penny.  Each time I  check where my  flight is and  ask how long  I have been  travelling I get  an inane email  and some departments  took longer than  usual to respond! ?! Absolutely hopeless  attempt to stuff  with the booking  from the first  place and even  worse customer service  will not even attempt to solve  the problem at  once in even  if they could  correct the mistake  they had made  on their system,  simply by being  completely unable to  file a very  valid claim, and  charging me 150  dollars in 15  days"
1.0,"We traveled to  Portugal for our  first vacation, a cruise to Portugal  & Spain. Our  friend did not  go get their  bags It was  the two week cruise. Two weeks  with a change of clothes or  a CPAP machine. Contacting customer service  is a nightmare.  We never talked  to a real  airline Very little  effort was put  in getting them their bags. In  the port we were on the  boat and the bags were at  the airport. The airlines did not  take the bags  neither did they  tell our friends  what they needed  a go get  bags The airline  could be bothered  or take the  bags from the  port to the  airport BA says  it is their policy to get you your bags within 72 hours.  That is a  joke It’s been  over two weeks and they still don’t have them. They are back home in the  states and last  they heard the  planes were in  Portugal If your  making a choice,  do not fly  British Airways. Customer  service is non stop"
1.0,"On a flight from Bucharest to Manchester with a 2h 45’ layover  at Heathrow. Flight  got delayed from  Manchester because of  the strike. Arrived  to Heathrow 40 minutes later than  expected and still had enough time  to catch my connecting flight. Unfortunately  we were stranded  inside the plane  and waited a  VERY long time to disembark the plane due to lack of staff or slot shortage , a common  occurrence with BA at Heathrow). I missed my connecting  plane because of their delays and  BA told me  they had to  sleep all night in a freezing  airport for the  next flight the  next day. There  were just a shameful 10£ food  bill which is  a joke considering the ridiculous prices  at LHR. No  meals offered and  had to sleep in a very  crowded airport. I  asked for compensation  but they sent  out a long  letter with the  same lame excuses that they are sorry, but they  did not compensate anything.  I  can imagine a  better airline than BA regarding customer  care It is not about money  anymore but rather  about the way  you treat customers.  That is the  first time in  our lifetime that  you will be  seeing this joke  about an airline."
8.0,"Got online months  ago and the  only hitch was  on aircraft meaning chosen seats were  tight I was  informed of this prior to departure  but could amend. Bag drop at  seat T3 wasn't  easy but I  guess that was  our fault. Shuttle boarding was slow , delayed meaning  the rush at  flight T5. The  bus to CPT  is full but  it left more  than less on time. The cabin  looked clean and  it was what  we expected, sufficient  bed and arm  rests plus a few little perks  for drinks. Only  downside is the  chairs actually recline  that far. Staff  was very good  during the first few hours of  flight especially George.  Dinner was quite  loaded but one  seat wasn't loaded.  Lunch was also quite tasty and we landed on  a The fly  in the ointment  was both our  bags arrived late  at the carousel  and only later  would we notice  they had been broken into, likely  from CPT. All  in all a  nice surprise."
7.0,"My flight was  in time. The  staff were polite.  This was the  usual story on  my outward flight. I find that  alcohol in Europe  was generally pretty good, though I  wish that they  recently substituted Prosecco  for Champagne on  the list of  drinks you can  get in economy!  The many complaints  against BA and  other airlines revolve  around lost luggage ! I never  slept in bags,  not for long ."
2.0,"Very disappointed, and  confused My route  is from London  and Atlanta. My  bag was not  packed therefore not  coming with me.  From both comfort  and safety reason, a bag always  arrives with its  passengers and that  could not happen. Claims and few  telephone calls were  answered by desk  staff who answered  the questions unprofessionally  or miserably. Certainly,  I was left  with nothing but  my backpack which  had not more  then few snacks. Neither clothes nor  something else was ever provided as  an apology. Meanwhile,  there was also  told that my bag would have  been delivered through  the next 24 hours which also  did not happen.  British Airways is  another great airline  to fly with  but its organization,  but it comes  its customer service,  was poor and  slow Still waiting for my bag."
3.0,"For an infrequent  traveller British Airways  were always my  first choice. With some reassurance and  quality of service,  no luggage allowance . In fact I’ve never flown  below the budget ! My most recent flight has  certainly changed my  mind and causes  one to reflect  on what am  I actually getting  from my money and is BA  as they once  were While the  planes were around an hour delayed  both ways, the  food and ground  stop service were  excellent It is  these facilities (or  lack of) that I am most  bothered by. The  trip was Approx  three and a  half hours and  the only thing  offered was a  single cup of  coffee that was poured out and  one bite sized  banana slice of  bread In fact  in my return  journey I wasn’t  actually offered the  sandwich To top it off BA no longer have  their media screen  on which you  simply select something  to pass the  information away. There  were even the  long flight journey.  While WiFi was  down I couldn’t  really access the shop. However, for  a fee so much more was . This explains  a record profit  at £1.52bn. So,  the question is,  what am I  waiting for? I  can now for  and opt for  more budget airlines.  Which are transparent with what they  charge and what  they have to pay for, which  I can decide to choose or  ignore As BA now stands for  Basic Airways I’ll  fly elsewhere and get basic for cheaper."
